"","X","연번","호선","역번호","역명","경로","장애","유공자","total","ratio","elevator","moving.walk","wheelchair.lift","facility.total"
"170",175,175,"5호선",2566,"하남검단산",462697,57600,3877,2051168,0.0280815613348102,4,0,0,4
"171",174,174,"5호선",2565,"하남시청(덕풍·신장)",612169,84350,6033,2337108,0.0360916140803078,4,0,0,4
"172",173,173,"5호선",2564,"하남풍산",248886,40338,3231,1374185,0.029354126263931,5,0,0,5
"173",149,149,"5호선",2540,"행당",472239,72463,3992,2628149,0.0275718766325654,3,0,0,3
"174",127,127,"5호선",2518,"화곡",1345218,260972,10064,9267998,0.0281584005520933,2,0,0,2
"175",205,205,"6호선",2641,"고려대(종암)",309300,66339,2476,2770744,0.0239426666628169,4,0,0,4
"176",191,191,"6호선",2627,"공덕",700472,111569,7771,5771009,0.0193326678229058,5,0,1,6
"177",189,189,"6호선",2625,"광흥창(서강)",471593,62240,6295,2889776,0.0215380015613667,3,0,1,4
"178",180,180,"6호선",2616,"구산",475460,81207,2964,2521988,0.0321995980948363,1,0,1,2
"179",194,194,"6호선",2630,"녹사평(용산구청)",171313,26486,1961,1754569,0.0150954450922135,3,0,0,3
"180",190,190,"6호선",2626,"대흥(서강대앞)",445723,65732,4907,2778212,0.0236598214967036,2,0,1,3
"181",179,179,"6호선",2614,"독바위",185928,30906,1448,898064,0.0344140283988669,2,0,0,2
"182",208,208,"6호선",2644,"돌곶이",558365,93287,4978,3112187,0.0299747412350222,3,0,0,3
"183",201,201,"6호선",2637,"동묘앞",631692,113717,7176,2747149,0.0413945512238324,2,0,2,4
"184",183,183,"6호선",2619,"디지털미디어시티",525246,96439,8096,4405266,0.0218917540961204,3,0,3,6
"185",185,185,"6호선",2621,"마포구청",685350,173537,6460,4636391,0.0374293281131811,4,0,4,8
"186",186,186,"6호선",2622,"망원",753942,123015,5738,4785461,0.0257059873646447,2,0,0,2
"187",197,197,"6호선",2633,"버티고개",132712,12542,1608,691925,0.0181262420059978,5,0,0,5
"188",203,203,"6호선",2639,"보문",278536,50159,3747,2462388,0.0203700635318236,1,0,0,1
"189",212,212,"6호선",2648,"봉화산(서울의료원)",447742,78265,8173,2824435,0.0277099667721155,2,0,2,4
"190",178,178,"6호선",2613,"불광",385659,64314,2263,1480595,0.0434379421786511,3,0,2,5
