"동별(1)",동별(2),동별(3),계,남자,여자
"합계",동작구,상도4동,1318,796,522
"합계",동작구,사당1동,754,453,301
"합계",동작구,사당3동,767,469,298
"합계",동작구,사당4동,560,323,237
"합계",동작구,사당5동,538,306,232
"합계",동작구,대방동,1542,866,676
"합계",동작구,신대방1동,823,471,352
"합계",동작구,신대방2동,781,445,336
"합계",동작구,흑석동,984,557,427
"합계",동작구,노량진1동,1251,704,547
"합계",동작구,사당2동,948,540,408
"합계",동작구,기타,0,0,0
"합계",관악구,소계,20228,11878,8350
"합계",관악구,보라매동,1095,624,471
"합계",관악구,청림동,663,381,282
"합계",관악구,행운동,1035,602,433
"합계",관악구,낙성대동,444,246,198
"합계",관악구,중앙동,589,348,241
"합계",관악구,인헌동,912,500,412
"합계",관악구,남현동,556,334,222
"합계",관악구,서원동,819,504,315
"합계",관악구,신원동,834,483,351
"합계",관악구,서림동,871,508,363
"합계",관악구,신사동,941,576,365
"합계",관악구,신림동,569,353,216
"합계",관악구,난향동,707,424,283
"합계",관악구,조원동,731,464,267
"합계",관악구,대학동,754,489,265
"합계",관악구,은천동,1668,955,713
"합계",관악구,성현동,1436,801,635
"합계",관악구,청룡동,1149,671,478
"합계",관악구,난곡동,1605,938,667
"합계",관악구,삼성동,1376,788,588
"합계",관악구,미성동,1474,889,585
"합계",관악구,기타,0,0,0
"합계",서초구,소계,10158,6004,4154
"합계",서초구,서초1동,458,257,201
"합계",서초구,서초2동,461,281,180
"합계",서초구,서초3동,728,436,292
"합계",서초구,서초4동,489,315,174
"합계",서초구,잠원동,496,308,188
"합계",서초구,반포본동,3,1,2
"합계",서초구,반포1동,619,377,242
"합계",서초구,반포2동,232,129,103
"합계",서초구,반포3동,403,220,183
"합계",서초구,반포4동,351,211,140
"합계",서초구,방배본동,485,295,190
"합계",서초구,방배1동,464,263,201
"합계",서초구,방배2동,655,383,272
"합계",서초구,방배3동,378,225,153
"합계",서초구,방배4동,581,343,238
"합계",서초구,양재1동,1858,1024,834
"합계",서초구,양재2동,672,432,240
"합계",서초구,내곡동,825,504,321
"합계",서초구,기타,0,0,0
"합계",강남구,소계,15158,8798,6360
"합계",강남구,신사동,395,225,170
"합계",강남구,개포3동,1181,617,564
"합계",강남구,논현1동,548,338,210
"합계",강남구,논현2동,482,298,184
"합계",강남구,삼성1동,292,185,107
"합계",강남구,삼성2동,588,371,217
"합계",강남구,대치1동,279,164,115
"합계",강남구,대치4동,369,210,159
"합계",강남구,역삼1동,706,415,291
"합계",강남구,역삼2동,675,409,266
"합계",강남구,도곡1동,383,217,166
"합계",강남구,도곡2동,497,315,182
"합계",강남구,개포1동,221,140,81
"합계",강남구,개포4동,619,368,251
"합계",강남구,일원본동,703,343,360
"합계",강남구,일원1동,1077,606,471
"합계",강남구,수서동,2069,1151,918
"합계",강남구,세곡동,1927,1133,794
"합계",강남구,압구정동,500,289,211
"합계",강남구,청담동,479,276,203
"합계",강남구,대치2동,604,387,217
"합계",강남구,개포2동,558,336,222
"합계",강남구,기타,6,5,1
"합계",송파구,소계,20571,12153,8418
"합계",송파구,풍납1동,603,343,260
"합계",송파구,풍납2동,808,476,332
"합계",송파구,거여1동,626,373,253
"합계",송파구,거여2동,1132,631,501
"합계",송파구,마천1동,1220,722,498
"합계",송파구,마천2동,1216,708,508
"합계",송파구,방이1동,411,246,165
"합계",송파구,방이2동,747,438,309
"합계",송파구,오륜동,301,168,133
"합계",송파구,오금동,1453,816,637
"합계",송파구,송파1동,684,430,254
"합계",송파구,송파2동,495,291,204
"합계",송파구,석촌동,1031,620,411
"합계",송파구,삼전동,903,538,365
"합계",송파구,가락본동,743,455,288
"합계",송파구,가락1동,556,341,215
"합계",송파구,가락2동,911,532,379
"합계",송파구,문정1동,562,337,225
"합계",송파구,문정2동,507,312,195
"합계",송파구,잠실본동,771,473,298
"합계",송파구,잠실4동,441,276,165
"합계",송파구,잠실6동,390,230,160
"합계",송파구,잠실7동,227,136,91
"합계",송파구,잠실2동,601,353,248
"합계",송파구,잠실3동,681,410,271
"합계",송파구,장지동,1313,770,543
"합계",송파구,위례동,1238,728,510
"합계",송파구,기타,0,0,0
"합계",강동구,소계,18785,11254,7531
"합계",강동구,명일1동,816,481,335
"합계",강동구,명일2동,456,279,177
"합계",강동구,고덕1동,696,416,280
"합계",강동구,고덕2동,800,486,314
"합계",강동구,암사2동,507,293,214
"합계",강동구,암사3동,558,304,254
"합계",강동구,천호1동,1411,847,564
