"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio"
"393","합계","서초구","반포3동",403,220,183,22773,0.0176963948535546
"394","합계","서초구","반포4동",351,211,140,19486,0.0180129323616956
"390","합계","서초구","반포본동",3,1,2,292,0.0102739726027397
"396","합계","서초구","방배1동",464,263,201,16883,0.0274832671918498
"397","합계","서초구","방배2동",655,383,272,18553,0.0353042634614348
"398","합계","서초구","방배3동",378,225,153,17321,0.021823220368339
"399","합계","서초구","방배4동",581,343,238,23429,0.0247983268598745
"395","합계","서초구","방배본동",485,295,190,20778,0.0233419963422851
"385","합계","서초구","서초1동",458,257,201,20622,0.0222092910483949
"386","합계","서초구","서초2동",461,281,180,26932,0.0171171840190108
"387","합계","서초구","서초3동",728,436,292,32379,0.0224837085765465
"388","합계","서초구","서초4동",489,315,174,30521,0.0160217555125979
"384","합계","서초구","소계",10158,6004,4154,408451,0.0248695681978989
"400","합계","서초구","양재1동",1858,1024,834,42683,0.0435302110910667
"401","합계","서초구","양재2동",672,432,240,21766,0.0308738399338418
"389","합계","서초구","잠원동",496,308,188,26393,0.0187928617436441
"63","합계","성동구","금호1가동",663,359,304,15137,0.0437999603620268
"72","합계","성동구","금호2.3가동",931,513,418,22423,0.0415198679926861
"64","합계","성동구","금호4가동",538,305,233,14228,0.0378127635648018
"58","합계","성동구","마장동",1047,617,430,22706,0.0461111600458029
"59","합계","성동구","사근동",355,186,169,14082,0.0252094872887374
"65","합계","성동구","성수1가1동",580,347,233,16407,0.0353507649174133
"66","합계","성동구","성수1가2동",448,244,204,12322,0.0363577341340691
"67","합계","성동구","성수2가1동",728,458,270,15716,0.0463222193942479
"68","합계","성동구","성수2가3동",409,249,160,10520,0.0388783269961977
"56","합계","성동구","소계",11092,6404,4688,288234,0.0384826217587099
"69","합계","성동구","송정동",475,288,187,10464,0.0453937308868502
"73","합계","성동구","옥수동",724,411,313,25843,0.0280153232983787
"57","합계","성동구","왕십리2동",648,346,302,16688,0.038830297219559
"71","합계","성동구","왕십리도선동",1001,590,411,26903,0.0372077463479909
"70","합계","성동구","용답동",617,395,222,12551,0.0491594295275277
"62","합계","성동구","응봉동",533,301,232,15100,0.0352980132450331
"60","합계","성동구","행당1동",503,298,205,13996,0.0359388396684767
"61","합계","성동구","행당2동",892,497,395,23148,0.0385346466217384
"135","합계","성북구","길음1동",1033,550,483,35000,0.0295142857142857
"136","합계","성북구","길음2동",746,442,304,21728,0.0343335787923417
"127","합계","성북구","돈암1동",606,328,278,14474,0.0418681774215835
"128","합계","성북구","돈암2동",690,394,296,23657,0.0291668427949444
"144","합계","성북구","동선동",535,296,239,15870,0.0337114051669817
"130","합계","성북구","보문동",637,359,278,16712,0.0381163235998085
"143","합계","성북구","삼선동",837,482,355,23044,0.0363218191286235
"146","합계","성북구","석관동",1757,1022,735,35315,0.0497522299306244
"142","합계","성북구","성북동",547,321,226,16889,0.0323879448161525
"126","합계","성북구","소계",17471,9967,7504,441984,0.0395285802200985
"129","합계","성북구","안암동",554,329,225,17118,0.0323635938777895
"137","합계","성북구","월곡1동",1167,670,497,26169,0.0445947495127823
"138","합계","성북구","월곡2동",886,503,383,19739,0.0448857591569988
"139","합계","성북구","장위1동",1176,655,521,24082,0.0488331533925754
"140","합계","성북구","장위2동",707,421,286,13622,0.0519013360739979
"141","합계","성북구","장위3동",587,358,229,15868,0.036992689689942
"131","합계","성북구","정릉1동",644,347,297,18197,0.0353904489751058
"132","합계","성북구","정릉2동",962,553,409,22911,0.0419885644450264
"133","합계","성북구","정릉3동",686,394,292,16567,0.0414076175529667
"134","합계","성북구","정릉4동",1080,614,466,24911,0.0433543414555819
"145","합계","성북구","종암동",1634,929,705,40111,0.0407369549500137
"444","합계","송파구","가락1동",556,341,215,27521,0.020202754260383
"445","합계","송파구","가락2동",911,532,379,31670,0.0287653931165141
"443","합계","송파구","가락본동",743,455,288,25883,0.0287061005293049
"431","합계","송파구","거여1동",626,373,253,12255,0.0510811913504692
"432","합계","송파구","거여2동",1132,631,501,23745,0.0476731943567067
"433","합계","송파구","마천1동",1220,722,498,18618,0.0655279836717155
"434","합계","송파구","마천2동",1216,708,508,18150,0.0669972451790634
"446","합계","송파구","문정1동",562,337,225,19916,0.0282185177746535
"447","합계","송파구","문정2동",507,312,195,28841,0.0175791408064908
"435","합계","송파구","방이1동",411,246,165,15460,0.0265847347994825
